# MSVP Token Airdrop CSV Sample
# Format: address,amount
# Amount is in tokens (not wei - will be converted to wei by contract)
# Total Airdrop Supply: 50,000,000,000 MSVP tokens
# Vesting Period: 61 months with 6-month cliff
# Unlock Schedule: 1.2% (months 7-19), 7% (months 22-49), 6% (months 52-61)

address,amount
0x1234567890123456789012345678901234567890,1000000
0x2345678901234567890123456789012345678901,2500000
0x3456789012345678901234567890123456789012,5000000
0x4567890123456789012345678901234567890123,7500000
0x5678901234567890123456789012345678901234,10000000
0x6789012345678901234567890123456789012345,15000000
0x7890123456789012345678901234567890123456,20000000
0x8901234567890123456789012345678901234567,25000000
0x9012345678901234567890123456789012345678,30000000
0xa123456789012345678901234567890123456789,50000000
0xb123456789012345678901234567890123456789,75000000
0xc123456789012345678901234567890123456789,100000000
0xd123456789012345678901234567890123456789,150000000
0xe123456789012345678901234567890123456789,200000000
0xf123456789012345678901234567890123456789,250000000
0x1a12345678901234567890123456789012345678,300000000
0x2b12345678901234567890123456789012345678,400000000
0x3c12345678901234567890123456789012345678,500000000
0x4d12345678901234567890123456789012345678,750000000
0x5e12345678901234567890123456789012345678,1000000000 
